list_name,項目名,目的・注意事項,TCB,LUNAビューティークリニック,リゼクリニック,品川美容外科,聖心美容クリニック
meta1,クリニック名,正式名称を使用,TCB,LUNAビューティークリニック,リゼクリニック,品川美容外科,聖心美容クリニック
meta2,クリニックコード,英字3-5文字の略称,tcb,luna,rize,shinagawa,seishin
meta3,遷移先URL（1位）,1位表示時の遷移先URL,https://tcb-beauty.net/menu/potenza_01,https://beauty.luna-dr.com/potenza-mc2000-38500,https://www.rizeclinic.com/skin/potenza/,https://www.shinagawa.com/potenza/,https://www.biyougeka.com/contents/antiaging/potenza/
meta4,遷移先URL（2位）,2位表示時の遷移先URL,https://tcb-beauty.net/menu/potenza_01,https://beauty.luna-dr.com/potenza-mc2000-38500,https://www.rizeclinic.com/skin/potenza/,https://www.shinagawa.com/potenza/,https://www.biyougeka.com/contents/antiaging/potenza/
meta5,遷移先URL（3位）,3位表示時の遷移先URL,https://tcb-beauty.net/menu/potenza_01,https://beauty.luna-dr.com/potenza-mc2000-38500,https://www.rizeclinic.com/skin/potenza/,https://www.shinagawa.com/potenza/,https://www.biyougeka.com/contents/antiaging/potenza/
meta6,遷移先URL（4位）,4位表示時の遷移先URL,https://tcb-beauty.net/menu/potenza_01,https://beauty.luna-dr.com/potenza-mc2000-38500,https://www.rizeclinic.com/skin/potenza/,https://www.shinagawa.com/potenza/,https://www.biyougeka.com/contents/antiaging/potenza/
meta7,遷移先URL（5位）,5位表示時の遷移先URL,https://tcb-beauty.net/menu/potenza_01,https://beauty.luna-dr.com/potenza-mc2000-38500,https://www.rizeclinic.com/skin/potenza/,https://www.shinagawa.com/potenza/,https://www.biyougeka.com/contents/antiaging/potenza/
comparison1,総合評価,比較表の総合評価スコア,4.9,4.6,4.4,4.3,3.8
meta8,ロゴ画像パス,各クリニックのロゴ画像パス,../common_data/images/clinics/tcb/tcb-logo.webp,../common_data/images/clinics/luna/luna-logo.webp,../common_data/images/clinics/rize/rize-logo.webp,../common_data/images/clinics/shinagawa/shinagawa-logo.webp,../common_data/images/clinics/seishin/seishin-logo.webp
ranking1,ランキングプッシュメッセージ,ランキングカード内の短い訴求文,"業界最安級<br>初回・Web限定で<br>8,000円〜可能",口コミ評価4.8！<br>豊富な実績と信頼性,症例に応じた丁寧な治療<br>全国展開のクリニック<br>安心の医療体制,長年の実績と信頼<br>幅広い治療メニュー<br>アクセス良好な立地,高品質な医療技術<br>丁寧なカウンセリング<br>充実したアフターケア
comparison2,費用,比較表の金額欄,"33,000円<br>今なら8,000円〜<br>初回・Web予約限定","38,500円<br>毛穴・ニキビ跡","69,000円<br>毛穴・ニキビ跡","82,500円<br>（全顔ニキビ跡）","120,000円<br>（全顔）"
comparison3,特徴,比較表の特徴欄,業界最安クラス<br>全国100院超の大手,Google口コミ評価4.8（731件）と高評価のクリニック,シンプルな料金体系<br>症例写真やモニター制度充実,長年の実績<br>幅広い治療メニュー<br>アクセス良好,15種類のチップ・5種類の薬剤選択可
comparison4,部位,比較表の対応範囲欄,全顔・顎下・鼻・頬・フェイスライン・口周り,全顔・首・部位ごとに選択可能,全顔・鼻・頬・フェイスライン・首,全顔・鼻・頬・フェイスライン・首・口周り,全顔・フェイスライン・首・デリケートゾーン
comparison5,対応症例,比較表の目安期間欄,ニキビ・ニキビ跡・小じわ・毛穴・赤ら顔・たるみ,毛穴の開き・ニキビ跡・小じわ・肝斑・赤ら顔・くすみ・ハリ,ニキビ跡・小じわ・毛穴開き・たるみ・肝斑・酒さ・エイジングケア,ニキビ・ニキビ跡・毛穴開き・肝斑・赤ら顔・シワ・たるみ・小じわ・美肌,若返り・美肌・ニキビ・肝斑・小じわ・軽度のたるみ・毛穴・くすみ・トーンアップ
